County,%_That_Slept_Under_a_Bed_Net,%_That_Had_a_Fever_or_Malaria,Heath_Spending_Per_Person_,Geolocation,OBJECTID
Baringo,24.20%,14.90%,29,,0
Bomet,26.30%,39.50%,20,,1
Bungoma,27.80%,37.60%,20,,2
Busia,40.70%,42.80%,20,,3
Elgeyo/Marakwet,7.50%,9.40%,48,,4
Embu,21.80%,39.80%,34,,5
Garissa,38.40%,46.60%,37,,6
Homa Bay,39.60%,58.30%,24,,7
Isiolo,42.60%,33.70%,42,,8
Kajiado,30.40%,12.30%,15,,9
Kakamega,26.70%,37.90%,23,,10
Kericho,33.80%,51.60%,11,,11
Kiambu,14.50%,22.80%,20,,12
Kilifi,38.50%,45.40%,26,,13
Kirinyaga,30%,43.20%,18,,14
Kisii,37.80%,49%,26,,15
Kisumu,62.40%,45.60%,29,,16
Kitui,13%,50.50%,46,,17
Kwale,32.10%,37.70%,31,,18
Laikipia,12.30%,14.90%,29,,19
Lamu,51.30%,63.30%,50,,20
Machakos,31.70%,40.90%,16,,21
Makueni,10.80%,51.10%,15,,22
Mandera,4.60%,35.20%,20,,23
Marsabit,11.10%,44%,46,,24
Meru,24%,42.60%,22,,25
Migori,40.10%,63%,23,,26
Mombasa,50.60%,48%,11,,27
Murang'a,11.40%,36.20%,22,,28
Nairobi,38%,37.70%,7,,29
Nakuru,9.80%,0%,11,,30
Nandi,18.90%,50.90%,23,,31
Narok,12.90%,55.80%,7,,32
Nyamira,40.90%,38.90%,22,,33
Nyandarua,1.70%,14.40%,17,,34
Nyeri,5.70%,13.40%,39,,35
Samburu,3.20%,37.10%,34,,36
Siaya,46.70%,54.40%,22,,37
Taita Taveta,30.80%,48.80%,48,,38
Tana River,45.10%,63.30%,19,,39
Tharaka Nithi,41.30%,33.80%,18,,40
Trans Nzoia,23%,34.80%,8,,41
Turkana,6%,55.40%,14,,42
Uasin Gishu,33.60%,43.40%,13,,43
Vihiga,28.50%,33.40%,10,,44
Wajir,18.30%,54.80%,21,,45
West Pokot,15.90%,60.40%,24,,46
